ORDER_SHOP_CD,volume_total,ca_estime,age_moyen,distance_moyenne,geolife_dominant,emplacement,surface,canal,vol_T,vol_I,vol_M,pct_T,pct_I,pct_M,cout_fonctionnement,marge_estimee,score_rentabilite,rentable,croissance_yoy,vs_mediane,profil_chalandise,decision
03018FQ4-0,11,2200.0,62.63636363636363,427.0275215737621,Populaire,CV,110.0,Agence Distribution,9,2,0,81.8,18.2,0.0,65000.0,-62800.0,0.03,False,-62.5,37.5,Régionale (>20km),FERMER
03100FQ4-1,9,1800.0,53.285714285714285,473.3042567565953,Pavillonnaire familial,CV,220.0,Agence Distribution,6,1,2,66.7,11.1,22.2,65000.0,-63200.0,0.03,False,25.0,12.5,Régionale (>20km),FERMER
03200FQ4-2,13,2600.0,61.0,352.50762070236397,Résidence secondaire,CC,160.0,Agence Distribution,10,1,2,76.9,7.7,15.4,85000.0,-82400.0,0.03,False,-55.6,62.5,Régionale (>20km),FERMER
03PAETOUL1,12,2400.0,50.666666666666664,,PériUrbain en croissance,,,Proactif Home,0,12,0,0.0,100.0,0.0,65000.0,-62600.0,0.04,False,400.0,50.0,Inconnu,FERMER
04008FQ7-3,17,3400.0,55.42857142857143,,PériUrbain en croissance,CC,121.0,Agence Distribution,0,0,17,0.0,0.0,100.0,85000.0,-81600.0,0.04,False,12.5,112.5,Inconnu,FERMER
04100FQ7-1,1405,281000.0,54.48265460030166,59.45574707817149,PériUrbain en croissance,CV,105.0,Agence Distribution,767,262,376,54.6,18.6,26.8,65000.0,216000.0,4.32,True,-3.5,17462.5,Régionale (>20km),MAINTENIR
04APVEMANO,30,6000.0,53.23076923076923,,PériUrbain en croissance,,,,0,0,30,0.0,0.0,100.0,65000.0,-59000.0,0.09,False,50.0,275.0,Inconnu,FERMER
04CORIJEPA,1,200.0,59.0,,Résidence secondaire,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu,FERMER
04DVIFORCA,4,800.0,39.0,,PériUrbain en croissance,,,Direction des ventes indirectes,1,3,0,25.0,75.0,0.0,65000.0,-64200.0,0.01,False,-66.7,-50.0,Inconnu,FERMER
04GTPRODIG,48,9600.0,48.76190476190476,,Urbain classe moyenne,,,,0,1,47,0.0,2.1,97.9,65000.0,-55400.0,0.15,False,236.4,500.0,Inconnu,FERMER
04GTPROSIS,16,3200.0,59.0,,Rural traditionnel,,,,0,0,16,0.0,0.0,100.0,65000.0,-61800.0,0.05,False,120.0,100.0,Inconnu,FERMER
04MOBISIST,3,600.0,75.66666666666667,,Rural traditionnel,CV,42.0,Réseau Partenaire,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,,-62.5,Inconnu,FERMER
04PHSEDIGN,1171,234200.0,52.15934065934066,100.0185169513082,Urbain classe moyenne,CC,121.0,Réseau Partenaire,488,269,414,41.7,23.0,35.4,85000.0,149200.0,2.76,True,25.2,14537.5,Régionale (>20km),DÉVELOPPER
